source_family	canonical_family	functional_class	confidence	assumption
scoloptoxin-23 family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
scoloptoxin-24 family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
scoloptoxin-25 family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
scoloptoxin-xy family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
scorpion calcin family	calcin (RyR-activating ICK)	ion channel / receptor-targeting toxin	high	
scorpion calcin-like family	calcin (RyR-activating ICK)	ion channel / receptor-targeting toxin	high	
scorpion la1-like peptide family	La1-like peptide	uncharacterized venom family	medium	
scutigerotoxin-01 family	scutigerotoxin (Scutigeromorpha)	uncharacterized venom family	medium	kept separate from Scolopendromorpha SLPTX families
scutigerotoxin-02 family	scutigerotoxin (Scutigeromorpha)	uncharacterized venom family	medium	kept separate from Scolopendromorpha SLPTX families
scutigerotoxin-03 family	scutigerotoxin (Scutigeromorpha)	uncharacterized venom family	medium	kept separate from Scolopendromorpha SLPTX families
sea anemone 8 toxin family	sea anemone toxin (type 8)	ion channel / receptor-targeting toxin	low	target not confidently assigned; placed with channel toxins by family context
sea anemone bbh family	sea anemone BBH	uncharacterized venom family	low	family content not confidently identified
sea anemone short toxin (type iii) family	sea anemone Na+ channel toxin	ion channel / receptor-targeting toxin	medium	type III (ATX-III-like); Na+-channel-directed
sea anemone sodium channel inhibitory toxin family	sea anemone Na+ channel toxin	ion channel / receptor-targeting toxin	high	
sea anemone type 1 potassium channel toxin family	sea anemone K+ channel toxin	ion channel / receptor-targeting toxin	high	types 1/3/5/6 merged; they are structurally distinct but share the Kv target
sea anemone type 3 (bds) potassium channel toxin family	sea anemone K+ channel toxin	ion channel / receptor-targeting toxin	high	types 1/3/5/6 merged; they are structurally distinct but share the Kv target
sea anemone type 5 potassium channel toxin family	sea anemone K+ channel toxin	ion channel / receptor-targeting toxin	high	types 1/3/5/6 merged; they are structurally distinct but share the Kv target
sea anemone type 6 potassium channel toxin family	sea anemone K+ channel toxin	ion channel / receptor-targeting toxin	high	types 1/3/5/6 merged; they are structurally distinct but share the Kv target
sea anemonne phab family	sea anemone PHAB	uncharacterized venom family	low	source string is misspelled ('anemonne'); family content not confidently identified
secapin family	secapin	protease inhibitor	medium	secapin is serine-protease-inhibitor-like; function only partly resolved
serine protease inhibitor-like (til domain-containing) family	TIL-domain inhibitor	protease inhibitor	high	
serpin family	serpin	protease inhibitor	high	
short scorpion toxin superfamily	scorpion K+ channel toxin (KTx)	ion channel / receptor-targeting toxin	high	
slptx(15) family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
snaclec family	C-type lectin-like (snaclec)	lectin / carbohydrate-binding	high	
sntx/vtx toxin family	stonustoxin/verrucotoxin (MACPF-like)	membrane-active / pore-forming	high	
spider toxin cstx family	spider ICK neurotoxin	ion channel / receptor-targeting toxin	high	
spiderine family	spiderine	membrane-active / pore-forming	medium	chimeric: linear cytolytic module + ICK module
sylv/frat/paul family	Sylv/Frat/Paul peptide	uncharacterized venom family	low	family content not confidently identified
tachykinin family	tachykinin	hormone / neuropeptide-like	high	
tctp family	TCTP (histamine-releasing factor)	auxiliary / non-toxin-like	high	
tectonin family	tectonin (beta-propeller lectin)	lectin / carbohydrate-binding	high	
teretoxin a (ta) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
teretoxin c (tc) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
teretoxin h (th) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
teretoxin j (tj) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
teretoxin m (tm) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
teretoxin n (tn) superfamily	teretoxin	ion channel / receptor-targeting toxin	medium	Terebridae counterpart of conopeptide superfamilies; targets largely unvalidated
three-finger toxin family	three-finger toxin (3FTx)	ion channel / receptor-targeting toxin	high	
transferrin family	transferrin	auxiliary / non-toxin-like	high	
true venom lectin family	C-type lectin (true lectin)	lectin / carbohydrate-binding	high	
turripeptide family	turripeptide	ion channel / receptor-targeting toxin	medium	Turridae; targets largely unvalidated
type-b carboxylesterase/lipase family	carboxylesterase/cholinesterase (type-B)	enzyme	high	
u-cntx family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
u18-cntx family	centipede venom peptide (scoloptoxin/SLPTX)	uncharacterized venom family	medium	SLPTX numbering is sequence-cluster based, not functional; merged into one canonical family
vasopressin/oxytocin family	vasopressin/oxytocin (conopressin)	hormone / neuropeptide-like	high	
venom complement c3 homolog family	cobra venom factor (complement C3 homolog)	enzyme	high	not catalytic itself but acts within the complement protease cascade
venom cub family	CUB-domain venom protein	auxiliary / non-toxin-like	medium	
venom kunitz-type family	Kunitz/BPTI-type	protease inhibitor	high	dual function: many venom Kunitz members are K+-channel blockers rather than inhibitors
venom metalloproteinase (m12b) family	snake venom metalloproteinase / ADAM (M12B)	enzyme	high	
venom protein 11 family	venom protein 11	uncharacterized venom family	low	
venom ptu1-like knottin family	Ptu1-like knottin (ICK)	ion channel / receptor-targeting toxin	high	
venom waprin family	WAP/waprin (four-disulfide core)	protease inhibitor	medium	WAP-domain proteins act as inhibitors and/or antimicrobials
waglerin family	waglerin	ion channel / receptor-targeting toxin	high	
worm b-toxin family	annelid B-toxin	uncharacterized venom family	low	
worm cytolysin family	annelid cytolysin	membrane-active / pore-forming	medium	
xibalbin-1 family	xibalbin	uncharacterized venom family	medium	remipede venom peptides; several are ICK but targets are unvalidated
xibalbin-13 family	xibalbin	uncharacterized venom family	medium	remipede venom peptides; several are ICK but targets are unvalidated
xibalbin-2 family	xibalbin	uncharacterized venom family	medium	remipede venom peptides; several are ICK but targets are unvalidated
xylopin-like family	bee linear cationic AMP (xylopin)	membrane-active / pore-forming	high	
