domain	alnlen	evalue	bits
d1h3za_.pdb	108	5.348e-23	900.0
d1r31a1.pdb	110	4.669e-25	936.0
d2choa2.pdb	310	1.637e-67	2723.0
d1uuqa_.pdb	410	1.474e-89	3621.0
d1tu9a_.pdb	131	2.211e-19	948.0
d1teva_.pdb	194	1.114e-38	1505.0
d1a5ta1.pdb	117	3.004e-17	850.0
d1j30a_.pdb	141	1.6e-21	976.0
d1sjra_.pdb	108	5.821e-24	942.0
d2cxha1.pdb	180	6.319e-43	1664.0
d1f5qb1.pdb	141	6.591e-23	990.0
d1rh5b_.pdb	56	1.141e-09	303.0
d1rh6a_.pdb	55	1.041e-11	431.0
d1rz4a2.pdb	130	3.731e-19	929.0
d1wz9a_.pdb	363	6.967e-82	3212.0
d1ofwa_.pdb	292	3.222e-63	2455.0
d1yfba1.pdb	51	1.86e-09	349.0
d2btya1.pdb	282	3.686e-64	2441.0
d1tdqa3.pdb	86	5.018e-16	759.0
d1yqba1.pdb	84	9.046e-19	720.0
d2gyqa1.pdb	160	2.499e-23	1132.0
d1bwda_.pdb	348	3.405e-81	3140.0
d1t0fa2.pdb	162	9.64e-37	1376.0
d2drwa1.pdb	362	1.387e-84	3248.0
d1k3xa1.pdb	89	5.35e-17	699.0
d3liza_.pdb	329	9.162e-76	3247.0
d2bgka1.pdb	267	7.947e-58	2295.0
d1uoca_.pdb	263	2.587e-56	2281.0
d1iray3.pdb	107	7.408e-22	996.0
d1u7na_.pdb	318	4.215e-64	2665.0
d1j2ga2.pdb	154	1.003e-32	1283.0
d1u0la1.pdb	66	1.744e-14	575.0
d2a35a1.pdb	208	6.484e-45	1812.0
d1nkra1.pdb	96	1.42e-20	926.0
d1wzaa1.pdb	79	1.471e-14	684.0
d1g8fa3.pdb	122	1.18e-27	1011.0
d1wu3i_.pdb	161	3.854e-24	1159.0
d2hyma1.pdb	109	2.096e-22	981.0
d3sj5a_.pdb	185	2.022e-35	1522.0
d1vq2a_.pdb	173	1.463e-41	1529.0
d2vrna_.pdb	185	6.412e-42	1671.0
d1t06a_.pdb	235	3.95e-40	1848.0
d2vzsa2.pdb	121	7.896e-24	1052.0
d1ehda2.pdb	44	3.239e-09	354.0
d1ehya_.pdb	282	6.99e-67	2563.0
d1k0ma2.pdb	86	9.104e-20	715.0
d1prtd_.pdb	110	6.777e-22	964.0
d2bm8a1.pdb	232	7.932e-53	1923.0
d1f3ka_.pdb	26	5.061e-05	196.0
d1f3ub_.pdb	139	2.859e-27	1173.0
d1u07a_.pdb	90	7.859e-17	756.0
d1zyba1.pdb	73	3.278e-15	580.0
d2essa2.pdb	98	2.579e-18	836.0
d3eg7a_.pdb	171	3.478e-37	1464.0
d1pyia1.pdb	42	5.281e-08	314.0
d2fnoa1.pdb	149	1.266e-23	1081.0
d3b2ua2.pdb	22	0.0004307	169.0
d3b48a1.pdb	129	1.126e-27	1022.0
d1m3qa2.pdb	124	1.985e-25	1033.0
d1x4ta1.pdb	80	2.771e-12	526.0
d1zjja_.pdb	261	3.742e-61	2269.0
d1th8b_.pdb	115	3.305e-24	892.0
d2csha2.pdb	44	1.774e-08	307.0
d2dm9a1.pdb	118	7.364e-23	824.0
d2wnya_.pdb	137	3.692e-30	1174.0
d1g40a4.pdb	59	1.742e-14	515.0
d1gkpa2.pdb	335	3.9e-78	2913.0
d3reaa_.pdb	127	1.327e-29	1085.0
d1luia_.pdb	108	4.716e-25	956.0
d1vcaa1.pdb	109	1.179e-20	963.0
d2fz4a1.pdb	206	6.43e-49	1846.0
d1rcua_.pdb	170	3.619e-37	1388.0
d2zjr41.pdb	37	1.375e-07	293.0
d3bbba_.pdb	151	5.481e-35	1259.0
d1hsja1.pdb	115	2.717e-21	833.0
d3dkra_.pdb	241	2.624e-56	2144.0
d2blna1.pdb	101	3.352e-22	885.0
d2g84a1.pdb	189	1.194e-44	1609.0
d1d8ka_.pdb	81	1.07e-15	604.0
d1fi6a_.pdb	92	3.813e-18	693.0
d1i27a_.pdb	73	1.207e-14	542.0
d1jb3a_.pdb	127	4.176e-28	1135.0
d1xiwb_.pdb	66	1.693e-14	592.0
d2d69a2.pdb	126	2.557e-29	1116.0
d3cx5b2.pdb	150	1.767e-33	1304.0
d1k6ka_.pdb	142	4.349e-25	1056.0
d1wv3a1.pdb	78	5.662e-15	680.0
d2f71a_.pdb	297	1.156e-63	2592.0
d1q8fa_.pdb	308	6.718e-71	2763.0
d1kkha1.pdb	180	3.544e-40	1586.0
d2nn6d2.pdb	89	5.627e-17	692.0
d3qu3a_.pdb	122	4.806e-27	987.0
d1g0da1.pdb	135	5.732e-28	1244.0
d2z90a_.pdb	161	5.365e-24	1158.0
d1nyta2.pdb	101	3.794e-23	860.0
d1t3ta7.pdb	217	2.256e-47	1817.0
d3c3ya_.pdb	225	9.984e-48	1828.0
d1yj5a2.pdb	172	8.486e-39	1418.0
d1dz3a_.pdb	123	1.041e-24	916.0
d1ru4a_.pdb	400	6.954e-71	3647.0
d2f4ma1.pdb	287	3.099e-59	2412.0
d1dv0a_.pdb	45	3.133e-06	274.0
d1ei5a2.pdb	103	5.415e-20	947.0
d3fava_.pdb	74	1.322e-10	398.0
d3prta_.pdb	323	2.647e-76	2913.0
d2bpa2_.pdb	175	1.575e-35	1599.0
d1cjaa_.pdb	327	9.222e-65	2792.0
d2f41a1.pdb	108	2.597e-22	967.0
d3gzyb_.pdb	186	1.904e-36	1505.0
d1pj5a3.pdb	119	3.394e-24	1044.0
d1vi2a2.pdb	102	1.449e-22	843.0
d2b0la1.pdb	91	7.218e-18	660.0
d2qwva1.pdb	187	2.122e-42	1635.0
d3fx7a_.pdb	84	4.686e-12	440.0
d3loca2.pdb	126	2.179e-21	843.0
d1baza_.pdb	49	4.881e-07	265.0
d1bb9a_.pdb	83	2.004e-17	715.0
d1iqpa2.pdb	231	3.822e-46	1850.0
d2qhfa_.pdb	392	3.835e-82	3395.0
d1z8ua1.pdb	90	2.729e-13	540.0
d2dfka2.pdb	162	1.115e-32	1343.0
d1fmta1.pdb	108	6.998e-24	945.0
d1kk1a1.pdb	117	1.4e-23	1059.0
d1zq1a2.pdb	363	2.297e-84	3211.0
d1ohta_.pdb	173	2.287e-40	1536.0
d1yixa1.pdb	265	4.458e-58	2284.0
d1sf9a_.pdb	118	3.895e-23	884.0
d1w0ha_.pdb	200	1.181e-44	1672.0
d3m9qa_.pdb	89	2.907e-16	739.0
d1guwa_.pdb	73	1.537e-12	505.0
d1l6za1.pdb	107	9.376e-22	1000.0
d1w1oa1.pdb	273	2.765e-60	2277.0
d1e43a2.pdb	393	2.836e-89	3617.0
d2xvma_.pdb	198	6.735e-47	1777.0
d1t01a2.pdb	127	5.518e-18	830.0
d1yqha1.pdb	101	1.984e-22	829.0
d2qfra1.pdb	112	2.708e-22	1023.0
d1jpma1.pdb	234	1.454e-51	1986.0
d3n4ja_.pdb	161	2.773e-38	1412.0
d1pmma_.pdb	450	3.85e-98	3940.0
d1t5ra_.pdb	265	2.272e-55	2557.0
d3jxga_.pdb	257	7.499e-62	2446.0
d1kvka1.pdb	209	4.032e-46	1797.0
d1y5ea1.pdb	155	5.428e-34	1275.0
d3seba1.pdb	121	5.931e-26	1005.0
d1hz6a_.pdb	67	4.646e-14	564.0
d1oo0b_.pdb	92	2.959e-20	770.0
d1v64a_.pdb	108	4.799e-18	706.0
d1w91a1.pdb	152	1.413e-32	1335.0
d3ea1a_.pdb	296	3.62e-70	2675.0
d1t3ba2.pdb	59	6.651e-12	472.0
d1ut9a2.pdb	98	4.457e-21	937.0
d2e1ba2.pdb	129	1.247e-29	1161.0
d1tdpa_.pdb	111	4.936e-16	790.0
d1vefa1.pdb	387	4.812e-85	3426.0
d1xe0a_.pdb	108	1.598e-20	974.0
d2rk5a1.pdb	84	6.682e-17	717.0
d3ro5a_.pdb	430	4.589e-76	3646.0
d2py6a1.pdb	375	1.645e-83	3270.0
d2wfba_.pdb	120	1.615e-27	1029.0
d1exra_.pdb	146	4.032e-25	965.0
d1iq4a_.pdb	179	1.256e-40	1513.0
d1wkya1.pdb	144	9.717e-30	1340.0
d2fvka2.pdb	376	4.569e-86	3278.0
d1whia_.pdb	122	2.36e-24	1046.0
d2heyr1.pdb	60	8.394e-13	538.0
d2i61a_.pdb	62	1.035e-13	525.0
d2j8ka1.pdb	175	8.369e-30	1463.0
d2q2ia_.pdb	112	1.043e-21	982.0
d1k8kc_.pdb	354	3.3e-75	3353.0
d2op5a1.pdb	112	3.278e-25	867.0
d1deua_.pdb	275	4.583e-65	2539.0
d1x2ma1.pdb	52	5.414e-08	329.0
d2d28c1.pdb	144	1.063e-31	1151.0
d2xcmc_.pdb	92	2.311e-16	776.0
d1hbna1.pdb	280	2.588e-42	2230.0
d1yeza1.pdb	68	1.05e-14	564.0
d2dmca1.pdb	103	8.943e-20	871.0
d3dcxa1.pdb	116	2.758e-21	947.0
d1jb7a3.pdb	167	2.494e-38	1473.0
d1vlaa_.pdb	144	7.149e-31	1185.0
d3eqza_.pdb	124	1.879e-25	968.0
d1p0ka_.pdb	306	1.089e-63	2544.0
d1u61a_.pdb	127	1.321e-18	877.0
d2cvca1.pdb	499	2.622e-102	4221.0
d1nw3a_.pdb	328	1.757e-72	2816.0
d1ng2a1.pdb	58	4.387e-11	448.0
d1qfha1.pdb	104	1.576e-22	998.0
d2axoa1.pdb	218	7.583e-51	1993.0
d1nuba3.pdb	58	3.214e-13	488.0
d1okqa2.pdb	185	2.458e-38	1768.0
d2cxna_.pdb	557	0.0	4792.0
d1gxra_.pdb	335	1.581e-68	3197.0
d1g7ea_.pdb	122	2.476e-27	1040.0
d1t33a1.pdb	88	1.735e-13	622.0
d1wa5c_.pdb	937	0.0	7264.0
d2id6a2.pdb	125	1.425e-18	782.0
d3dplr_.pdb	87	3.085e-19	706.0
d3l2ca_.pdb	85	8.38e-18	682.0
d1bi5a1.pdb	235	4.012e-60	2050.0
d2adza1.pdb	105	1.256e-20	931.0
d3bhpa_.pdb	52	1.241e-06	263.0
d3f08a_.pdb	137	5.009e-29	1226.0
d3c9ua1.pdb	137	1.519e-31	1187.0
d1mg7a1.pdb	164	2.87e-36	1317.0
d1xdpa1.pdb	105	9.41e-16	624.0
d2caya1.pdb	130	5.739e-27	1159.0
d1dqna_.pdb	230	9.385e-52	1965.0
d2eyqa6.pdb	158	1.86e-35	1325.0
d1n00a_.pdb	318	3.738e-45	2546.0
d1a8ra_.pdb	221	6.682e-47	1825.0
d1vqta1.pdb	189	2.211e-39	1607.0
d1fnoa3.pdb	113	3.402e-25	958.0
d2h80a1.pdb	71	2.609e-11	501.0
d2p7ja1.pdb	93	5.801e-20	804.0
d1apy.1.pdb	161	3.153e-35	1339.0
d1o7ja_.pdb	325	2.574e-73	2900.0
d3hnym_.pdb	156	3.473e-35	1504.0
d1k9ua_.pdb	76	5.441e-13	457.0
d1k9xa_.pdb	497	1.59e-76	4020.0
d1bqua1.pdb	95	4.102e-18	859.0
d1nc5a_.pdb	363	4.054e-64	3082.0
d2zs0c_.pdb	147	7.348e-22	1069.0
d1y9ia_.pdb	159	2.65e-23	1165.0
d2ou6a1.pdb	183	4.187e-31	1454.0
d1k85a_.pdb	88	3.666e-16	765.0
d1rutx2.pdb	34	6.089e-06	234.0
d1rz4a1.pdb	83	3.246e-16	619.0
d1v93a_.pdb	292	4.319e-63	2473.0
d1x4ha1.pdb	98	1.46e-21	789.0
d2hfta2.pdb	103	3.102e-20	905.0
d3u5la_.pdb	127	4.252e-24	1007.0
d1id1a_.pdb	153	1.665e-31	1180.0
d1uoua2.pdb	271	7.562e-55	2348.0
d1my7a_.pdb	107	1.15e-22	1015.0
d1wu2a1.pdb	72	1.736e-14	613.0
d2c4ja2.pdb	84	4.434e-19	691.0
d2p7ia1.pdb	225	4.093e-54	1971.0
d1u2wa1.pdb	104	2.851e-19	721.0
d1yc0i_.pdb	66	2.259e-15	582.0
d2b5ea2.pdb	98	8.352e-22	806.0
d3b6ia_.pdb	197	1.103e-42	1624.0
d1x7va_.pdb	98	9.156e-21	813.0
d1pfva1.pdb	162	2.556e-26	1174.0
d1wkta_.pdb	88	1.707e-17	806.0
d1zbsa2.pdb	107	2.25e-24	910.0
d3deoa1.pdb	44	6.113e-08	327.0
d3osxa_.pdb	190	2.104e-44	1667.0
d1svsa1.pdb	195	1.667e-44	1674.0
d1g40a3.pdb	58	4.353e-12	473.0
d1hn6a_.pdb	110	7.987e-20	741.0
d1josa_.pdb	100	1.498e-22	809.0
d1o6wa2.pdb	46	3.599e-09	342.0
d2jmua1.pdb	223	2.915e-45	1927.0
d1n0ua3.pdb	165	3.573e-43	1506.0
d1z6ba1.pdb	142	1.799e-30	1264.0
d3d02a_.pdb	300	1.06e-59	2483.0
d2zfda1.pdb	183	6.72e-31	1398.0
d1f2qa1.pdb	78	1.291e-17	729.0
d1kyfa1.pdb	133	2.083e-25	1202.0
d1zunb2.pdb	105	2.406e-20	940.0
d3jtdc_.pdb	156	1.61e-30	1185.0
d1f6va_.pdb	91	3.729e-25	707.0
d3mezb_.pdb	113	4.066e-22	987.0
d1jkva_.pdb	266	2.754e-45	2025.0
d1zcha1.pdb	249	3.371e-51	2070.0
d1hyua3.pdb	102	3.455e-22	819.0
d1r8na_.pdb	185	1.317e-34	1682.0
d2jrxa1.pdb	75	2.037e-11	387.0
d2jv3a_.pdb	110	8.763e-19	829.0
d3gu4a_.pdb	280	8.688e-59	2410.0
d1ub9a_.pdb	100	7.395e-19	710.0
d2afwa_.pdb	323	6.066e-73	2900.0
d1gmia_.pdb	135	1.64e-27	1272.0
d2cx4a_.pdb	161	2.361e-36	1393.0
d1d5ra1.pdb	133	1.502e-28	1281.0
d1q90b_.pdb	212	1.717e-31	1525.0
d1yhfa1.pdb	112	2.542e-22	1008.0
d2q3za1.pdb	131	7.195e-27	1203.0
d1i8na_.pdb	89	1.204e-19	811.0
d1nnqa1.pdb	133	4.011e-18	832.0
d1wlua_.pdb	117	2.402e-23	1038.0
d2jbha_.pdb	208	1.522e-47	1861.0
d3p48a_.pdb	127	7.31e-23	1052.0
d1lpba1.pdb	39	4.808e-08	282.0
d1lr0a_.pdb	126	1.993e-25	960.0
d1t0ha_.pdb	96	4.256e-20	774.0
d1xoya_.pdb	161	5.315e-35	1470.0
d2r5fa1.pdb	218	2.738e-48	1906.0
d1szba2.pdb	45	4.036e-09	362.0
d1t3qb1.pdb	165	4.442e-33	1272.0
d2gmha3.pdb	102	4.449e-23	823.0
d2i76a2.pdb	144	3.41e-33	1304.0
d2a9ua1.pdb	134	4.18e-18	758.0
d2o14a1.pdb	146	7.484e-32	1380.0
d1e4ea2.pdb	211	5.603e-45	1832.0
d1zd9a1.pdb	164	9.402e-38	1404.0
d1ikpa3.pdb	143	7.38e-25	1104.0
d1rhfa2.pdb	85	1.902e-16	791.0
d1x38a2.pdb	214	7.091e-48	1881.0
d3kdfb_.pdb	118	4.329e-23	981.0
d1k0wa_.pdb	223	1.789e-50	1988.0
d2aiqa_.pdb	231	2.746e-50	2206.0
d1rqta_.pdb	37	8.955e-05	170.0
d1rr7a_.pdb	94	8.658e-15	632.0
d1vhka1.pdb	72	8.068e-16	625.0
d1zm8a_.pdb	239	4.534e-55	2104.0
d3l8ua_.pdb	154	1.58e-33	1355.0
d1mr1c_.pdb	97	9.86e-22	815.0
d1seza1.pdb	353	1.885e-79	3059.0
d1g55a_.pdb	313	1.78e-70	2768.0
d2y43a_.pdb	88	4.44e-19	693.0
d3bi1a2.pdb	233	1.101e-54	2066.0
d1jpya_.pdb	121	3.756e-21	944.0
d1twda_.pdb	234	2.103e-53	1976.0
d1m7ja1.pdb	55	1.657e-12	483.0
d1p0ya2.pdb	254	4.05e-54	2166.0
d2cvoa2.pdb	165	1.478e-40	1523.0
d1bev1_.pdb	268	3.388e-56	2324.0
d1w32a_.pdb	346	2.956e-78	3040.0
d1t4wa_.pdb	196	4.955e-44	1855.0
d1ajsa_.pdb	412	2.676e-82	3608.0
d1euva_.pdb	221	6.814e-47	1923.0
d1erja_.pdb	350	1.25e-76	3370.0
d2c2aa1.pdb	89	2.985e-13	514.0
d2fmma_.pdb	68	4.284e-13	525.0
d2oy9a1.pdb	85	8.094e-16	580.0
d2qi2a3.pdb	95	1.522e-22	748.0
d1a6qa1.pdb	68	7.708e-11	420.0
d1bywa_.pdb	110	3.02e-23	974.0
d1nzia2.pdb	41	2.425e-09	354.0
d1olra_.pdb	224	1.608e-51	2238.0
d2y3nb_.pdb	60	1.072e-12	442.0
d1jnda2.pdb	92	8.728e-20	804.0
d1kgda_.pdb	175	1.966e-39	1457.0
d2hnga1.pdb	124	5.351e-24	1020.0
d1a0aa_.pdb	63	1.985e-10	414.0
d1aopa3.pdb	171	6.228e-41	1488.0
d1ss4a_.pdb	149	7.728e-31	1260.0
d2a1fa1.pdb	229	1.352e-51	1989.0
d1pdoa_.pdb	129	1.174e-25	978.0
d2nvna1.pdb	121	2.446e-22	1002.0
d1bgva1.pdb	255	6.904e-56	2118.0
d1upka_.pdb	318	2.97e-40	2281.0
d1dkia_.pdb	303	3.278e-69	2772.0
d1woja_.pdb	209	3.301e-46	1813.0
d1bu8a2.pdb	338	5.118e-82	3142.0
d2ibaa1.pdb	136	1.793e-29	1162.0
d1cuka1.pdb	48	1.395e-07	309.0
d1dy5a_.pdb	124	8.02e-29	1084.0
d1md6a_.pdb	154	1.132e-29	1369.0
d2fl4a1.pdb	146	2.382e-31	1165.0
d1czan2.pdb	243	9.09e-46	2016.0
d2mysb_.pdb	138	6.83e-24	934.0
d2pd2a_.pdb	108	2.566e-22	834.0
d1kkxa_.pdb	102	3.59e-17	764.0
d1mg4a_.pdb	101	1.16e-22	841.0
d1st6a4.pdb	117	6.734e-18	809.0
d1x9aa_.pdb	87	8.132e-18	674.0
d2bjoa_.pdb	135	1.842e-29	1114.0
d1agqa_.pdb	91	7.442e-17	766.0
d1kjwa1.pdb	93	2.285e-19	799.0
d1q79a3.pdb	124	3.037e-28	1037.0
d1wrba1.pdb	232	5.758e-53	1986.0
d1ktha_.pdb	58	9.286e-13	501.0
d1oq1a_.pdb	223	3.187e-50	2214.0
d2nn6f2.pdb	95	7.948e-18	739.0
d2zjrs1.pdb	175	3.597e-41	1622.0
d1koaa1.pdb	97	2.481e-19	900.0
d1wxxa1.pdb	64	8.448e-15	565.0
d2a07f1.pdb	82	2.02e-15	580.0
d2cfqa_.pdb	417	3.405e-51	3184.0
d1k75a_.pdb	431	1.204e-84	3545.0
d2bdea1.pdb	458	1.108e-90	3800.0
d1uf5a_.pdb	303	1.178e-71	2817.0
d1fp0a1.pdb	70	1.166e-14	538.0
d1fr3a_.pdb	67	9.022e-11	492.0
d1nh2a1.pdb	95	6.011e-19	779.0
d1xmta_.pdb	95	9.399e-22	795.0
d2f06a1.pdb	71	1.368e-15	573.0
d2iu5a2.pdb	108	3.522e-16	724.0
d3atya_.pdb	379	1.716e-87	3450.0
d2v3ia_.pdb	434	0.0	4264.0
d1ntya1.pdb	184	2.007e-27	1364.0
d2cqda1.pdb	103	4.746e-23	822.0
d2vkva2.pdb	138	3.14e-21	916.0
d1epwa3.pdb	530	0.0	4762.0
d3fdra_.pdb	89	2.048e-18	750.0
d1h8la2.pdb	301	2.621e-75	2741.0
d2fcla1.pdb	157	7.174e-34	1255.0
d1ff4a_.pdb	65	3.068e-12	536.0
d1hnra_.pdb	47	3.858e-09	341.0
d1hpia_.pdb	71	1.645e-16	581.0
d2j01q1.pdb	136	1.464e-28	1110.0
d1hwmb2.pdb	131	3.02e-27	1186.0
d1rwha1.pdb	369	6.89e-59	2994.0
d1htwa_.pdb	158	1.365e-36	1380.0
d1wd3a2.pdb	162	1.619e-38	1500.0
d2fswa1.pdb	102	2.828e-20	767.0
d3ci0k2.pdb	110	1.746e-22	907.0
d3hdga_.pdb	124	4.493e-25	919.0
d1oiga_.pdb	24	1.398e-05	189.0
d1oisa_.pdb	220	2.678e-50	1895.0
d2qeda1.pdb	251	9.435e-57	2239.0
d1ui5a2.pdb	124	3.389e-19	874.0
d2c42a5.pdb	117	1.546e-24	924.0
d2ix0a1.pdb	90	6.539e-19	804.0
d3ljqa_.pdb	281	4.741e-69	2560.0
d1yj5a1.pdb	195	5.628e-45	1709.0
d1eaqa_.pdb	124	1.839e-24	1123.0
d1tzba_.pdb	301	1.711e-66	2624.0
d1scza_.pdb	233	5.588e-53	1955.0
d8abpa_.pdb	305	1.702e-65	2553.0
d2bmoa2.pdb	287	1.47e-60	2505.0
d1k77a_.pdb	260	8.491e-60	2258.0
d1ew4a_.pdb	106	3.367e-20	863.0
d1lnqa2.pdb	80	5.822e-12	554.0
d1oaoc_.pdb	729	0.0	6559.0
d3i4oa_.pdb	68	1.975e-14	629.0
d1f2ea1.pdb	121	6.301e-19	837.0
d1mxga2.pdb	361	7.219e-89	3315.0
d3sdoa_.pdb	443	2.673e-91	3854.0
d1of5b_.pdb	128	2.714e-26	1091.0
d2q4oa1.pdb	175	1.158e-37	1464.0
d1ozha2.pdb	175	1.412e-40	1508.0
d2g3qa1.pdb	43	9.81e-07	287.0
d2i9ua1.pdb	109	5.966e-24	972.0
d3bzka5.pdb	149	6.311e-32	1230.0
d1pb5a_.pdb	35	2.691e-09	270.0
d1pb7a_.pdb	281	2.163e-67	2574.0
d3ouga_.pdb	107	8.066e-24	976.0
d1ijta_.pdb	128	1.349e-27	1204.0
d1qupa2.pdb	72	4.523e-16	617.0
d1wp9a2.pdb	279	1.752e-54	2203.0
d1njfa_.pdb	239	6.268e-50	2008.0
d3dtub2.pdb	100	6.594e-16	587.0
d3igxa_.pdb	322	3.852e-62	2602.0
d2jdig_.pdb	184	5.508e-32	1294.0
d1de4a2.pdb	178	6.346e-39	1546.0
d1sse.1.pdb	35	1.611e-06	244.0
d1ssqa_.pdb	241	1.396e-45	1999.0
d2fsra1.pdb	164	7.537e-36	1439.0
d1e2wa2.pdb	64	7.087e-12	516.0
d2pnra2.pdb	125	2.493e-27	1028.0
d1f1sa3.pdb	73	1.645e-13	622.0
d1ohea2.pdb	181	1.393e-39	1549.0
d2hipa_.pdb	71	8.237e-16	591.0
d2ii1a_.pdb	297	1.671e-66	2745.0
d1p9ea_.pdb	294	6.223e-67	2662.0
d3v7ba_.pdb	147	2.425e-33	1304.0
d1jl0a_.pdb	310	1.731e-68	2917.0
d3jqwa_.pdb	117	9.615e-27	1108.0
d1jvna2.pdb	232	6.313e-55	2081.0
d2xz4a_.pdb	165	1.003e-38	1462.0
d1e4ea1.pdb	130	5.172e-31	1153.0
d1orua_.pdb	182	2.322e-43	1643.0
d2cdqa1.pdb	304	9.954e-67	2615.0
d1wgda_.pdb	93	9.385e-20	751.0
d2awia1.pdb	65	3.402e-10	468.0
d2ihoa1.pdb	154	1.178e-32	1416.0
d1ayja_.pdb	51	1.458e-12	450.0
d1bcoa2.pdb	215	4.658e-52	1915.0
d1q47a_.pdb	484	1.926e-97	4656.0
d2abwa1.pdb	214	3.899e-52	1955.0
d1m06g_.pdb	187	5.005e-39	1710.0
d1xppa_.pdb	99	9.533e-20	726.0
d2uwaa_.pdb	274	1.35e-60	2625.0
d1ng2a2.pdb	118	3.992e-24	955.0
d1umka2.pdb	147	1.644e-34	1286.0
d2j01x1.pdb	92	5.441e-19	740.0
d3cnxa1.pdb	138	5.849e-29	1182.0
d1kxla_.pdb	187	1.746e-46	1696.0
d1xp4a1.pdb	93	2.765e-17	714.0
d1l0qa1.pdb	90	2.024e-17	781.0
d1tafb_.pdb	70	7.825e-12	449.0
d1vcta1.pdb	99	5.028e-14	617.0
d1ytda2.pdb	119	6.301e-28	1010.0
d2ox9a_.pdb	130	3.924e-28	1170.0
d1d1na_.pdb	99	3.846e-18	845.0
d1lqaa_.pdb	346	1.446e-79	2971.0
d1mkya1.pdb	157	5.826e-34	1250.0
d2c42a1.pdb	257	5.037e-55	2237.0
d1u5ma_.pdb	73	1.401e-15	590.0
d1iwma_.pdb	177	2.778e-37	1655.0
d2ccja_.pdb	196	1.139e-40	1558.0
d1qqha_.pdb	144	1.866e-30	1274.0
d2bfdb1.pdb	194	8.434e-44	1725.0
d1k8kf_.pdb	167	1.013e-32	1277.0
d1vdda_.pdb	199	1.682e-41	1576.0
d3ag3c_.pdb	259	5.805e-36	1874.0
d1khia2.pdb	71	9.161e-15	605.0
d1piwa2.pdb	168	2.906e-37	1446.0
d2oi8a2.pdb	124	2.396e-19	863.0
d1hq1a_.pdb	76	4.079e-12	510.0
d1j56a_.pdb	124	2.283e-26	971.0
d2bgra2.pdb	258	8.243e-61	2305.0
d1u3em1.pdb	105	3.328e-23	902.0
d1yg6a_.pdb	193	3.116e-43	1615.0
d1g2914.pdb	71	1.199e-12	568.0
d1kkoa1.pdb	251	1.712e-51	2117.0
d1gq8a_.pdb	319	2.939e-59	2897.0
d1qv0a_.pdb	185	8.732e-35	1529.0
d1xtta1.pdb	215	3.032e-47	1909.0
d1u0ta_.pdb	267	7.724e-64	2502.0
d1su3a1.pdb	55	7.772e-10	396.0
d1tdqb_.pdb	126	3.921e-28	1160.0
d2akja2.pdb	153	6.412e-32	1243.0
d3crda_.pdb	100	1.228e-19	766.0
d1cz4a2.pdb	94	1.052e-21	817.0
d1hfua2.pdb	169	2.533e-39	1656.0
d1t35a_.pdb	179	4.164e-36	1367.0
d1a62a1.pdb	47	3.026e-06	260.0
d1d1ha_.pdb	35	2.241e-07	294.0
d2h6fa1.pdb	315	2.487e-41	2287.0
d1kg0c_.pdb	136	9.442e-33	1241.0
d1t01a1.pdb	125	2.193e-18	840.0
d1xsza2.pdb	157	1.493e-32	1305.0
d3lb2a_.pdb	137	9.943e-21	988.0
d1jt8a_.pdb	102	6.975e-21	857.0
d1wura1.pdb	185	2.434e-39	1565.0
d3q15c_.pdb	116	2.187e-22	839.0
d1q52a_.pdb	269	1.915e-60	2334.0
d2ywqa1.pdb	89	5.27e-20	750.0
d2yvxa3.pdb	173	2.056e-23	1175.0
d1fafa_.pdb	79	4.051e-13	553.0
d1knva_.pdb	290	7.107e-61	2483.0
d2ooxe1.pdb	179	1.175e-38	1420.0
d1hn0a2.pdb	184	1.289e-39	1725.0
d1y6kr2.pdb	106	1.85e-21	943.0
d2ogka1.pdb	133	6.208e-29	1117.0
d1in0a2.pdb	74	1.458e-12	467.0
d1p2za2.pdb	312	2.541e-68	2832.0
d2cqga1.pdb	90	3.714e-19	774.0
d3bida1.pdb	56	2.612e-10	410.0
d3fz2a_.pdb	129	1.512e-28	1112.0
d1ln1a_.pdb	203	8.301e-43	1802.0
d2ff4a3.pdb	99	9.263e-20	907.0
d3bnja_.pdb	471	5.038e-82	3942.0
d2mssa_.pdb	75	2.989e-18	645.0
d3bpza_.pdb	194	2.735e-40	1535.0
d1mjfa_.pdb	271	2.013e-65	2479.0
d1c4za_.pdb	350	7.037e-69	3033.0
d2fd6u2.pdb	84	8.642e-18	773.0
d1qtqa2.pdb	331	6.55e-76	2884.0
d1dsva_.pdb	31	9.631e-08	260.0
d1e0ba_.pdb	61	1.338e-12	506.0
d1gp6a_.pdb	349	8.565e-80	3072.0
d3cs0a1.pdb	99	8.181e-19	825.0
d1e5da1.pdb	152	7.971e-33	1292.0
d2dpia1.pdb	98	3.275e-21	795.0
d2vnud2.pdb	80	6.678e-15	674.0
d3tema_.pdb	228	7.65e-52	1986.0
d2fhzb_.pdb	93	8.197e-19	788.0
d1wiwa_.pdb	282	1.42e-60	2445.0
d1k1fa_.pdb	67	2.731e-09	315.0
d1k28a1.pdb	124	1.016e-27	1120.0
d1sdda2.pdb	102	3.763e-22	937.0
d1wc3a_.pdb	198	2.989e-45	1782.0
d1gkub1.pdb	237	1.208e-53	1948.0
d2g50a3.pdb	135	2.091e-30	1097.0
